Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
Ortivus AB ser. A,-13.33,3.40,-0.39,0.06,0.00,0.00,86.67,-6.50
Ortivus AB ser. B,-4.62,1.18,-0.39,0.06,0.00,0.00,30.00,-6.50
Poolia AB ser. B,9.76,0.06,0.74,8.46,0.25,3.46,0.85,0.09
Precise Biometrics AB,-19.27,6.08,-0.06,0.35,0.00,0.00,3.30,-0.17
Prevas AB ser. B,32.09,0.28,0.45,15.22,0.00,0.00,1.41,0.03
Pricer AB ser. B,13.23,1.11,0.79,6.93,0.60,4.98,1.74,0.11
ProfilGruppen AB ser. B,10.15,0.53,11.29,48.85,5.00,4.31,2.37,0.23
Projektengagemang Sweden AB ser. B,13.43,0.63,2.33,23.87,1.00,3.19,1.31,0.10
Railcare Group AB,-238.33,1.14,-0.06,5.81,0.00,0.00,2.46,-0.01
Rejlers AB ser. B,97.65,0.63,0.85,39.10,1.00,1.20,2.12,0.02
RNB RETAIL AND BRANDS AB,-8.73,0.07,1.07,11.48,0.00,0.00,0.43,0.09
Rottneros AB,7.85,0.90,1.44,9.52,0.70,5.04,1.46,0.15
Saniona AB,-14.57,10.89,-1.84,1.69,0.00,0.00,15.86,-1.09
Semcon AB,11.51,0.60,5.19,31.30,3.00,4.91,1.95,0.17
Sensys Gatso Group AB,0.00,3.56,0.00,0.53,0.00,0.00,3.03,0.00
SinterCast AB,24.23,10.19,4.61,12.55,5.00,3.97,10.04,0.37
Softronic AB ser. B,19.68,1.39,0.99,5.15,1.00,5.13,3.78,0.19
Sportamore AB,516.67,0.63,0.12,24.10,0.00,0.00,2.57,0.00
SSM Holding AB,19.03,0.45,0.39,19.53,0.00,0.00,0.38,0.02
Stockwik Förvaltning AB,4.33,0.59,4.81,13.28,0.00,0.00,1.57,0.36
Strax AB,2.18,0.34,0.91,1.87,1.10,55.56,1.06,0.49
Studsvik AB,34.15,0.41,1.06,38.42,0.00,0.00,0.94,0.03
Svedbergs i Dalstorp AB ser. B,12.29,0.80,1.92,7.70,1.25,5.30,3.06,0.25
TradeDoubler AB,9.88,0.13,0.34,5.14,0.00,0.00,0.65,0.07
Trention AB,12.18,4.02,4.86,85.07,1.45,2.45,0.70,0.06
Venue Retail Group AB ser. B,-3.89,0.11,0.01,0.43,0.00,0.00,1.63,0.02
Viking Supply Ships AB ser. B,0.43,0.27,187.73,318.20,116.00,144.64,0.25,0.59
Wise Group AB,10.75,0.41,4.78,17.46,3.50,6.81,2.94,0.27
ZetaDisplay AB,19.14,1.21,1.16,10.97,0.00,0.00,2.02,0.11
ZetaDisplay AB Pref,0.00,0.00,0.00,10.97,9.00,8.04,10.21,0.00
